Provincia;Cantón;2019;2020;2021;2022;2023;2024;2025
AZUAY;Cuenca;602324;608277;610362;612574;615768;619701;624053
AZUAY;Girón;13046;12974;12825;12687;12578;12492;12423
AZUAY;Gualaceo;45858;45766;45392;45040;44774;44577;44426
AZUAY;Nabón;15837;15700;15475;15268;15103;14972;14868
AZUAY;Paute;27801;27827;27676;27535;27442;27385;27349
AZUAY;Pucará;10413;10324;10174;10034;9918;9825;9750
AZUAY;San Fernando;4033;3987;3918;3853;3802;3760;3726
AZUAY;Santa Isabel;22692;22383;21953;21561;21240;20985;20785
AZUAY;Sígsig;27218;27030;26686;26368;26115;25916;25756
AZUAY;Oña;3682;3656;3608;3565;3531;3503;3482
AZUAY;Chordeleg;13018;12938;12782;12637;12521;12432;12359
AZUAY;El Pan;2988;2950;2897;2849;2810;2779;2755
AZUAY;Sevilla De Oro;5215;5081;4930;4800;4699;4621;4565
AZUAY;Guachapala;3679;3681;3663;3650;3645;3648;3656
AZUAY;Camilo Ponce Enríquez;22435;23016;23432;23825;24226;24624;25005
BOLÍVAR;Guaranda;103400;102725;101954;101309;100831;100508;100355
BOLÍVAR;Chillanes;20323;20289;20234;20201;20198;20223;20280
BOLÍVAR;Chimbo;16653;16435;16200;15987;15807;15659;15548
BOLÍVAR;Echeandía;15319;15335;15333;15346;15380;15434;15511
BOLÍVAR;San Miguel;29894;29639;29368;29143;28975;28860;28800
BOLÍVAR;Caluma;16313;16329;16325;16337;16373;16429;16509
BOLÍVAR;Las Naves;7144;7174;7194;7221;7255;7297;7348
CAÑAR;Azogues;76796;77069;77227;77367;77533;77677;77819
CAÑAR;Biblián;20111;19861;19604;19370;19167;18986;18828
CAÑAR;Cañar;55809;55088;54354;53686;53114;52602;52160
CAÑAR;La Troncal;64142;64985;65703;66369;67016;67598;68127
CAÑAR;El Tambo;9833;9807;9769;9732;9701;9670;9643
CAÑAR;Déleg;6368;6354;6331;6309;6290;6272;6255
CAÑAR;Suscal;4908;4856;4802;4751;4706;4665;4628
CARCHI;Tulcán;97989;98102;97597;96812;96038;95422;95087
CARCHI;Bolívar;16463;16555;16541;16476;16410;16366;16368
CARCHI;Espejo;15192;15184;15080;14933;14788;14669;14593
CARCHI;Mira;13479;13450;13339;13193;13053;12935;12859
CARCHI;Montúfar;32172;32007;31649;31211;30788;30427;30165
CARCHI;San Pedro De Huaca;8321;8305;8239;8151;8065;7994;7948
COTOPAXI;Latacunga;210394;214125;217580;221033;224463;227737;230875
COTOPAXI;La Maná;52650;53622;54523;55421;56312;57161;57972
COTOPAXI;Pangua;22174;22231;22292;22380;22489;22602;22719
COTOPAXI;Pujilí;69557;69308;69017;68780;68594;68420;68269
COTOPAXI;Salcedo;66832;67501;68083;68671;69261;69816;70344
COTOPAXI;Saquisilí;25259;25169;25063;24974;24904;24838;24780
COTOPAXI;Sigchos;20058;19672;19312;19011;18769;18573;18423
CHIMBORAZO;Riobamba;267926;269558;270441;271039;271614;272179;272762
CHIMBORAZO;Alausí;42469;41651;40783;39950;39199;38530;37948
CHIMBORAZO;Colta;36163;34787;33493;32354;31396;30603;29956
CHIMBORAZO;Chambo;13637;13705;13736;13754;13772;13790;13811
CHIMBORAZO;Chunchi;12291;12013;11719;11437;11180;10951;10750
CHIMBORAZO;Guamote;42051;40853;39643;38517;37523;36664;35934
CHIMBORAZO;Guano;48997;49223;49318;49365;49414;49466;49528
CHIMBORAZO;Pallatanga;12540;12501;12430;12350;12274;12202;12137
CHIMBORAZO;Penipe;7203;7170;7119;7062;7008;6957;6909
CHIMBORAZO;Cumandá;16662;16910;17099;17256;17394;17515;17620
EL ORO;Machala;307370;311184;313777;316124;318567;321196;324062
EL ORO;Arenillas;32526;32880;33105;33303;33512;33741;33996
EL ORO;Atahualpa;6402;6386;6347;6307;6271;6242;6221
EL ORO;Balsas;8177;8204;8199;8187;8178;8176;8179
EL ORO;Chilla;2452;2414;2372;2333;2301;2275;2256
EL ORO;El Guabo;61049;61710;62128;62497;62887;63314;63789
EL ORO;Huaquillas;58276;58760;59012;59217;59439;59696;59997
EL ORO;Marcabelí;6795;6877;6932;6982;7034;7090;7152
EL ORO;Pasaje;85845;86350;86511;86603;86720;86890;87122
EL ORO;Piñas;29993;30134;30155;30153;30161;30186;30236
EL ORO;Portovelo;14056;14092;14072;14042;14018;14004;14002
EL ORO;Santa Rosa;83449;84001;84223;84381;84567;84807;85112
EL ORO;Zaruma;26122;25968;25727;25487;25278;25108;24982
EL ORO;Las Lajas;5769;5815;5839;5857;5878;5902;5930
ESMERALDAS;Esmeraldas;227318;228236;228852;229442;230186;231097;232221
ESMERALDAS;Eloy Alfaro;49835;50222;50544;50860;51212;51603;52040
ESMERALDAS;Muisne;36391;36843;37245;37640;38056;38495;38966
ESMERALDAS;Quinindé;135005;134887;134601;134311;134127;134059;134131
ESMERALDAS;San Lorenzo;51826;52488;53076;53655;54263;54902;55584
ESMERALDAS;Atacames;52995;53516;53970;54415;54897;55418;55990
ESMERALDAS;Rioverde;34351;34717;35036;35351;35689;36052;36445
GUAYAS;Guayaquil;2844903;2874750;2888378;2908589;2932225;2957527;2982756
GUAYAS;Alfredo Baquerizo Moreno (Juján);27048;26979;26774;26652;26584;26556;26554
GUAYAS;Balao;25670;26125;26436;26808;27213;27635;28057
GUAYAS;Balzar;62668;62794;62579;62528;62573;62680;62813
GUAYAS;Colimes;27240;27407;27419;27496;27608;27738;27870
GUAYAS;Daule;200147;209864;217904;225776;233201;240043;246208
GUAYAS;Durán;301299;307287;311563;316551;321912;327452;332968
GUAYAS;El Empalme;87282;87465;87174;87108;87177;87331;87521
GUAYAS;El Triunfo;62131;62801;63117;63577;64112;64682;65252
GUAYAS;Milagro;207159;209350;210359;211848;213587;215447;217302
GUAYAS;Naranjal;87172;88341;89016;89898;90889;91937;92986
GUAYAS;Naranjito;46145;46602;46796;47097;47453;47836;48219
GUAYAS;Palestina;18773;18881;18883;18930;19001;19085;19171
GUAYAS;Pedro Carbo;53403;54113;54520;55054;55654;56289;56925
GUAYAS;Samborondón;94474;97328;99595;102019;104484;106919;109253
GUAYAS;Santa Lucía;45903;46139;46116;46205;46355;46537;46729
GUAYAS;Salitre;65589;65683;65425;65340;65359;65447;65565
GUAYAS;San Jacinto De Yaguachi;73966;74948;75510;76247;77077;77953;78831
GUAYAS;Playas;58965;60455;61597;62862;64183;65515;66818
GUAYAS;Simón Bolívar;30432;30728;30851;31045;31273;31522;31768
GUAYAS;Coronel Marcelino Maridueña;14059;14131;14123;14149;14195;14249;14307
GUAYAS;Lomas De Sargentillo;23211;23508;23675;23895;24144;24409;24674
GUAYAS;Nobol;25084;25417;25606;25856;26138;26435;26732
GUAYAS;General Antonio Elizalde;12789;12853;12846;12870;12910;12960;13012
GUAYAS;Isidro Ayora;14244;14550;14775;15032;15306;15587;15866
IMBABURA;Ibarra;216440;219063;221282;223545;225970;228403;230846
IMBABURA;Antonio Ante;52331;53121;53813;54513;55251;55989;56725
IMBABURA;Cotacachi;53517;54116;54615;55125;55674;56225;56779
IMBABURA;Otavalo;119565;119931;120072;120237;120495;120764;121046
IMBABURA;Pimampiro;14261;14248;14211;14181;14165;14155;14151
IMBABURA;San Miguel De Urcuquí;18038;18152;18231;18312;18406;18499;18593
LOJA;Loja;251676;252746;253496;254463;255762;257110;258514
LOJA;Calvas;28171;27763;27358;27020;26760;26544;26374
LOJA;Catamayo;35193;35394;35550;35734;35960;36192;36428
LOJA;Celica;15075;14999;14907;14828;14773;14721;14676
LOJA;Chaguarpamba;7176;7115;7047;6990;6945;6908;6875
LOJA;Espíndola;15223;15009;14797;14619;14482;14368;14277
LOJA;Gonzanamá;12781;12674;12573;12502;12462;12436;12421
LOJA;Macará;19472;19271;19058;18878;18738;18618;18520
LOJA;Paltas;24297;23997;23693;23435;23235;23067;22929
LOJA;Puyango;16855;16780;16693;16629;16596;16572;16559
LOJA;Saraguro;31079;30765;30433;30150;29932;29744;29588
LOJA;Sozoranga;7311;7226;7137;7064;7005;6957;6917
LOJA;Zapotillo;14524;14667;14788;14915;15058;15197;15333
LOJA;Pindal;10385;10492;10583;10679;10784;10887;10987
LOJA;Quilanga;4222;4153;4085;4030;3987;3952;3925
LOJA;Olmedo;4508;4414;4328;4258;4206;4165;4134
LOS RÍOS;Babahoyo;185546;187384;187950;188759;190058;191772;193677
LOS RÍOS;Baba;46783;47183;47263;47404;47667;48034;48446
LOS RÍOS;Montalvo;28996;29318;29442;29604;29842;30147;30483
LOS RÍOS;Puebloviejo;43838;44284;44429;44633;44952;45370;45833
LOS RÍOS;Quevedo;214036;216756;218010;219549;221661;224264;227098
LOS RÍOS;Urdaneta;34493;34748;34766;34829;34982;35210;35472
LOS RÍOS;Ventanas;77865;78398;78398;78499;78803;79279;79831
LOS RÍOS;Vinces;84421;85059;85118;85286;85675;86249;86908
LOS RÍOS;Palenque;25548;25674;25626;25612;25665;25775;25911
LOS RÍOS;Buena Fe;78741;79762;80244;80831;81628;82607;83670
LOS RÍOS;Valencia;52723;53462;53839;54286;54875;55584;56350
LOS RÍOS;Mocache;43714;43897;43784;43731;43794;43955;44163
LOS RÍOS;Quinsaloma;19612;19835;19923;20037;20203;20414;20645
MANABÍ;Portoviejo;329229;332602;334349;336546;339230;342231;345349
MANABÍ;Bolívar;45094;45323;45329;45398;45533;45712;45910
MANABÍ;Chone;137508;137593;137028;136685;136579;136646;136807
MANABÍ;El Carmen;126913;128124;128707;129461;130403;131464;132569
MANABÍ;Flavio Alfaro;28630;28780;28788;28837;28927;29046;29175
MANABÍ;Jipijapa;80992;81404;81416;81541;81786;82110;82465
MANABÍ;Junín;22522;22756;22879;23033;23219;23428;23645
MANABÍ;Manta;272244;275969;278355;281123;284304;287759;291322
MANABÍ;Montecristi;94370;97112;99320;101571;103867;106147;108345
MANABÍ;Paján;43174;43472;43557;43699;43904;44149;44409
MANABÍ;Pichincha;32436;32390;32196;32060;31986;31958;31960
MANABÍ;Rocafuerte;42021;42779;43327;43931;44594;45295;46005
MANABÍ;Santa Ana;53248;53469;53428;53463;53579;53749;53941
MANABÍ;Sucre;65973;66503;66705;66997;67383;67831;68301
MANABÍ;Tosagua;43713;44046;44164;44339;44579;44859;45153
MANABÍ;24 De Mayo;32519;32653;32626;32647;32716;32819;32936
MANABÍ;Pedernales;72608;74176;75372;76651;78017;79428;80838
MANABÍ;Olmedo;10721;10710;10650;10607;10585;10579;10582
MANABÍ;Puerto López;25704;26225;26617;27040;27496;27971;28448
MANABÍ;Jama;20471;19855;19184;18598;18105;17697;17363
MANABÍ;Jaramijó;27661;28762;29674;30558;31413;32223;32971
MANABÍ;San Vicente;25380;25631;25755;25915;26112;26333;26563
MORONA SANTIAGO;Morona;53405;54516;55562;56624;57720;58843;59992
MORONA SANTIAGO;Gualaquiza;21521;21863;22177;22493;22820;23155;23497
MORONA SANTIAGO;Limón Indanza;10473;10405;10327;10256;10196;10150;10118
MORONA SANTIAGO;Palora;10623;11072;11498;11915;12323;12718;13100
MORONA SANTIAGO;Santiago;10015;10004;9984;9971;9970;9980;10001
MORONA SANTIAGO;Sucúa;23033;23367;23668;23972;24287;24610;24940
MORONA SANTIAGO;Huamboya;10806;11006;11194;11384;11580;11781;11987
MORONA SANTIAGO;San Juan Bosco;4428;4445;4458;4474;4495;4520;4550
MORONA SANTIAGO;Taisha;26163;26948;27701;28457;29225;29997;30773
MORONA SANTIAGO;Logroño;7400;7510;7609;7711;7814;7922;8030
MORONA SANTIAGO;Pablo Sexto;2193;2232;2268;2303;2341;2380;2419
MORONA SANTIAGO;Tiwintza;9342;9532;9711;9893;10080;10271;10468
